category,brand,model_name,price_vnd,image_url,inventory_status
Laptop,Acer,Acer Gaming Nitro V 15 ProPanel ANV15 41 R0FE R7 7735HS (NH.QPFSV.005),26990000,/images/products/acer_acer-gaming-nitro-v-15-propanel-anv15-41-r0fe-r7-7735hs-nhqpfsv005.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro ProPanel ANV15 52 59AA i5 13420H (NH.QZ9SV.002),33990000,/images/products/acer_acer-gaming-nitro-propanel-anv15-52-59aa-i5-13420h-nhqz9sv002.jpg,Còn hàng
Laptop,Acer,Acer Gaming Predator Helios Neo 16 AI PHN16 73 757W Ultra 7 255HX (NH.QVQSV.001),60990000,/images/products/acer_acer-gaming-predator-helios-neo-16-ai-phn16-73-757w-ultra-7-255hx-nhqvqsv001.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 14 X1404VA Core 5 120U (EB155WS),18590000,/images/products/asus_asus-vivobook-14-x1404va-core-5-120u-eb155ws.jpg,Còn hàng
Laptop,HP,HP 15 fd1486TU Ultra 5 125H (D0BH3PA),22490000,/images/products/hp_hp-15-fd1486tu-ultra-5-125h-d0bh3pa.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004),19890000,/images/products/acer_acer-gaming-nitro-v-15-anv15-41-r2up-r5-6600h-nhqpgsv004.jpg,Còn hàng
Laptop,Lenovo,Lenovo IdeaPad Slim 3 15IRH10 i7 13620H (83K1000FVN),23390000,/images/products/lenovo_lenovo-ideapad-slim-3-15irh10-i7-13620h-83k1000fvn.jpg,Còn hàng
Laptop,HP,HP 15 fd0234TU Core 5 120U (9Q969PA-120U),19690000,/images/products/hp_hp-15-fd0234tu-core-5-120u-9q969pa-120u.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (71084746),20990000,/images/products/dell_dell-15-dc15250-i5-1334u-71084746.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15-46P-R73C R3 5400U (NX.JXMSV.001),14490000,/images/products/acer_acer-aspire-lite-15-al15-46p-r73c-r3-5400u-nxjxmsv001.jpg,Còn hàng
Laptop,Dell,Dell Inspiron 15 3530 i5 1334U (N5I5530W1),19990000,/images/products/dell_dell-inspiron-15-3530-i5-1334u-n5i5530w1.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro ProPanel AN16S 61 R193 R9 AI 365 (NH.QXTSV.001),59990000,/images/products/acer_acer-gaming-nitro-propanel-an16s-61-r193-r9-ai-365-nhqxtsv001.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 15 AL15 42P R86Y R7 7730U (NX.D3QSV.003),17490000,/images/products/acer_acer-aspire-lite-15-al15-42p-r86y-r7-7730u-nxd3qsv003.jpg,Còn hàng
Laptop,Asus,Asus Vivobook S14 S3407CA Ultra 5 225H (LY095WS),23790000,/images/products/asus_asus-vivobook-s14-s3407ca-ultra-5-225h-ly095ws.jpg,Còn hàng
Laptop,Asus,Asus Gaming Vivobook 16X K3605VC i5 13420H (RP364W),20990000,/images/products/asus_asus-gaming-vivobook-16x-k3605vc-i5-13420h-rp364w.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (71084747),23990000,/images/products/dell_dell-15-dc15250-i7-1355u-71084747.jpg,Còn hàng
Laptop,HP,HP OmniBook 5 Flip 14 fp0057TU Core 5 120U (BZ7Q6PA),25490000,/images/products/hp_hp-omnibook-5-flip-14-fp0057tu-core-5-120u-bz7q6pa.jpg,Còn hàng
Laptop,Lenovo,Lenovo Gaming LOQ 15IRX9 i5 13450HX (83DV01ANVN),28990000,/images/products/lenovo_lenovo-gaming-loq-15irx9-i5-13450hx-83dv01anvn.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U (NX.J2SSV.005),19290000,/images/products/acer_acer-aspire-lite-16-g2-al16-52p-76du-i7-1355u-nxj2ssv005.jpg,Còn hàng
Laptop,Asus,Asus VivoBook Go 14 E1404FA R5 40 (EB945W),19690000,/images/products/asus_asus-vivobook-go-14-e1404fa-r5-40-eb945w.jpg,Còn hàng
Laptop,HP,HP Gaming VICTUS 15 fb3116AX R7 7445HS (BX8U4PA),25490000,/images/products/hp_hp-gaming-victus-15-fb3116ax-r7-7445hs-bx8u4pa.jpg,Còn hàng
Laptop,Dell,Dell Inspiron 15 3530 i5 1334U (71070372),19990000,/images/products/dell_dell-inspiron-15-3530-i5-1334u-71070372.jpg,Còn hàng
Laptop,MSI,MSI Gaming Cyborg 15 A13VEK i7 13620H (1423VN),29990000,/images/products/msi_msi-gaming-cyborg-15-a13vek-i7-13620h-1423vn.jpg,Còn hàng
Laptop,MSI,MSI Modern 14 F1MG Core 5 120U (432VN),20890000,/images/products/msi_msi-modern-14-f1mg-core-5-120u-432vn.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 14 AL14-44P-R0SP R7 7730U (NX.DMCSV.003),20990000,/images/products/acer_acer-aspire-lite-14-al14-44p-r0sp-r7-7730u-nxdmcsv003.jpg,Còn hàng
Laptop,Asus,Asus TUF Gaming F16 FX607VJ Core 5 210H (RL034W),23490000,/images/products/asus_asus-tuf-gaming-f16-fx607vj-core-5-210h-rl034w.jpg,Còn hàng
Laptop,Asus,Asus VivoBook 16 X1607CA Ultra 5 225H (MB980W),22090000,/images/products/asus_asus-vivobook-16-x1607ca-ultra-5-225h-mb980w.jpg,Còn hàng
Laptop,Acer,Acer Aspire Lite 16 AI AL16 71P 5674 Ultra 5 125H (NX.D4XSV.001),18990000,/images/products/acer_acer-aspire-lite-16-ai-al16-71p-5674-ultra-5-125h-nxd4xsv001.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (CPH991),25990000,/images/products/dell_dell-15-dc15250-i7-1355u-cph991.jpg,Còn hàng
Laptop,HP,HP Pavilion X360 14 ek2017TU Core 5 120U (9Z2V5PA),23890000,/images/products/hp_hp-pavilion-x360-14-ek2017tu-core-5-120u-9z2v5pa.jpg,Còn hàng
Laptop,Acer,Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002),21790000,/images/products/acer_acer-gaming-aspire-7-a715-76g-5806-i5-12450h-nhqmfsv002.jpg,Còn hàng
Laptop,Lenovo,Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3001DVN),30990000,/images/products/lenovo_lenovo-ideapad-slim-5-oled-15arp10-r7-7735hs-83j3001dvn.jpg,Còn hàng
Laptop,HP,HP 240 G10 i5 1334U (B93GZAT),18990000,/images/products/hp_hp-240-g10-i5-1334u-b93gzat.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (DC15250-i7U161W11SLU),25990000,/images/products/dell_dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu.jpg,Còn hàng
Laptop,MSI,MSI Gaming Cyborg 15 A13UC i5 13420H (2088VN),25990000,/images/products/msi_msi-gaming-cyborg-15-a13uc-i5-13420h-2088vn.jpg,Còn hàng
Laptop,Lenovo,Lenovo Ideapad Slim 5 OLED 14AKP10 R5 330 (83HX00B2VN),29990000,/images/products/lenovo_lenovo-ideapad-slim-5-oled-14akp10-r5-330-83hx00b2vn.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (DC15250-i7U161W11SLU-5),25990000,/images/products/dell_dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu-5.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (DC5I5357W1),20990000,/images/products/dell_dell-15-dc15250-i5-1334u-dc5i5357w1.jpg,Còn hàng
Laptop,HP,HP 15 fd0235TU Core 5 120U (9Q970PA_120U),19690000,/images/products/hp_hp-15-fd0235tu-core-5-120u-9q970pa_120u.jpg,Còn hàng
Laptop,Lenovo,Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3002SVN),29990000,/images/products/lenovo_lenovo-ideapad-slim-5-oled-15arp10-r7-7735hs-83j3002svn.jpg,Còn hàng
Laptop,MSI,MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN),24390000,/images/products/msi_msi-gaming-katana-15-b13udxk-i7-13620h-2077vn.jpg,Còn hàng
Laptop,HP,HP 14 ep1137TU Ultra 7 155H (C2CY8PA),23890000,/images/products/hp_hp-14-ep1137tu-ultra-7-155h-c2cy8pa.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro ProPanel ANV15 41 R7CR R5 7535HS (NH.QPESV.003),27490000,/images/products/acer_acer-gaming-nitro-propanel-anv15-41-r7cr-r5-7535hs-nhqpesv003.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 14 X1404VA Core 5 120U (EB155W),17990000,/images/products/asus_asus-vivobook-14-x1404va-core-5-120u-eb155w.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (DC5I7952W1),23990000,/images/products/dell_dell-15-dc15250-i7-1355u-dc5i7952w1.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15255 R5 7530U (DC5R5802W1),19990000,/images/products/dell_dell-15-dc15255-r5-7530u-dc5r5802w1.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 15 X1504VA Core 3 100U (BQ793W),15790000,/images/products/asus_asus-vivobook-15-x1504va-core-3-100u-bq793w.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),26390000,/images/products/acer_acer-gaming-nitro-v-anv15-51-55ca-i5-13420h-nhqn8sv004.jpg,Còn hàng
Laptop,HP,HP 15 fd1288TU Ultra 7 155H (C2CV7PA),23990000,/images/products/hp_hp-15-fd1288tu-ultra-7-155h-c2cv7pa.jpg,Còn hàng
Laptop,Acer,Acer Aspire Go 14 AG14-72P-54DF Core 5 120U (NX.JSBSV.009),19490000,/images/products/acer_acer-aspire-go-14-ag14-72p-54df-core-5-120u-nxjsbsv009.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i7 1355U (71092480),23990000,/images/products/dell_dell-15-dc15250-i7-1355u-71092480.jpg,Còn hàng
Laptop,HP,HP Pavilion 16 af0054TU Ultra 5 125U (AY8C3PA),23390000,/images/products/hp_hp-pavilion-16-af0054tu-ultra-5-125u-ay8c3pa.jpg,Còn hàng
Laptop,GIGABYTE,GIGABYTE Gaming A16 GA6H i7 13620H (GAMING-A16-CMHI2VN893SH),29290000,/images/products/gigabyte_gigabyte-gaming-a16-ga6h-i7-13620h-gaming-a16-cmhi2vn893sh.jpg,Còn hàng
